"(0.12679500579833985, 0.82237034479777016, 0.75562038421630862, -0.60882523854573567, -0.14886978268623352, -0.13830679655075073, 0.0, 0.0)","{0: 0, 1: 0, 2: 0.1520360131742291, 3: 0}"
"(-0.076290893554687503, 0.78870154062906894, -0.39969635009765625, -0.59322465260823565, 0.13985070586204529, 0.17431974411010742, 0.0, 0.0)","{0: -0.22148337751710018, 1: 0, 2: 0, 3: 0}"
"(-0.05750551223754883, 0.83118096033732092, -0.36619355678558352, -0.54091612497965502, 0.10254817456007004, 0.18066773414611817, 0.0, 0.0)","{0: 0, 1: 0, 2: 0, 3: -0.15726186613683799}"
"(0.085483551025390625, 0.91992531458536786, 0.24274837970733643, -0.33084023793538414, -0.12091799825429916, -0.077333670854568479, 0.0, 0.0)","{0: 0, 1: -0.15049315438227484, 2: 0, 3: 0}"
"(0.040668106079101561, 0.66896286646525061, 0.14967449903488159, -0.88769931793212886, -0.15250749886035919, -0.22759242057800294, 0.0, 0.0)","{0: 0, 1: -0.2032835595709257, 2: 0, 3: 0}"
"(0.08607892990112305, 0.79305287043253581, 0.32086515426635742, -0.48717168172200526, -0.10311935096979141, -0.11851267814636231, 0.0, 0.0)","{0: 0, 1: -0.13157032530033622, 2: 0, 3: 0}"
"(0.41024007797241213, 0.35068770090738932, 0.8669303894042969, -1.1341904958089193, -0.24850964546203613, -0.11246372461318969, 0.0, 0.0)","{0: 0, 1: -0.14311137803656768, 2: 0, 3: 0}"
"(0.055685424804687501, 0.52492018381754557, 0.15046945810317994, -1.0506012598673502, -0.25200626254081726, -0.14579074382781981, 0.0, 0.0)","{0: -0.17807914068852712, 1: 0, 2: 0, 3: 0}"
"(0.045164871215820315, 0.96701698939005531, 0.20783398151397706, 0.0030352011322975158, -0.06026110053062439, -0.016122697293758391, 0.0, 0.0)","{0: -0.018709722945030195, 1: 0, 2: 0, 3: 0}"
"(0.29994993209838866, 0.17919955889383948, 0.86811294555664065, -1.2854459126790365, -0.9216008186340332, -0.38130984306335447, 0.0, 0.0)","{0: -0.3921360372196091, 1: 0, 2: 0, 3: 0}"
